"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara"
"1" "29.99" "42" "1" " 2. kerület, Országút " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs" "13 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "131" "72" "2" " 2. kerület, Szemlohegy " "nincs megadva" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "van" "nincs megadva" "hoszivattyú" NA NA "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "2019" "17 m²" NA
"3" "44.9" "84" "3" " 17. kerület, Hegyalatti utca " "újszeru" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "25 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "2011" "6 m²" NA
"4" "50.94" "48" "2" " 10. kerület, Harmat utca 22. " "új építésu" "összkomfortos" "AA++" "3" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2021" "23.3 m²" "4.5 M Ft"
"5" "103.9" "105" "3" " 2. kerület, Tüske utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "38 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" "23 m²" NA
"6" "96" "104" "4" " 12. kerület, Virányos " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "20 m²" NA
"7" "35" "48" "2" " 8. kerület, Horváth Mihály tér " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "2019" NA NA
"8" "32.5" "34" "1" " 7. kerület, Külso-Erzsébetváros " "újszeru" "összkomfortos" "nincs megadva" "földszint" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - fizetos övezet" "2001-2010 között" NA NA
"9" "63.3" "80" "4" " 13. kerület, Frangepán utca 28-30 " "új építésu" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "13 m²" "4.45 M Ft"
"10" "59" "90" "2" " 7. kerület, Baross tér " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA
