"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "36.9" "90" "2" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "dél" "utcai" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "98" "128" "3" " 2. kerület, Pasarét " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "19 m²" NA NA NA NA
"3" "26.49" "28" "1" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA "6 000 Ft/hó" NA NA NA
"4" "46.6" "75" "2" " 11. kerület, Menyecske utca " "jó állapotú" "1950-1980 között" "összkomfortos" "B" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" NA "részt vett" NA NA
"5" "9" "48" "1" " 13. kerület, Jász utca " "újszeru" "2015" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "van" "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA "70 000 Ft/hó" NA NA NA
"6" "46" "48" "1" " 2. kerület, Pasarét " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "délkelet" "panorámás" "nem" "tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "4 M Ft" NA
"7" "76" "76" "2" " 7. kerület, Károly körút " "közepes állapotú" "1950 elott" "összkomfortos" "CC" "4" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" NA NA NA NA
"8" "26.9" "44" "1" " 14. kerület, Kiszugló " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"9" "79.9" "95" "3" " 2. kerület, Rózsadomb " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"10" "88.7" "97" "4" " 9. kerület, Akadémia Garden by Cordia " "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "22.02 m²" NA NA NA "Akadémia Garden by Cordia"
