"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "parkolohely_ara"
"1" "28.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "46.9" "100" "2.5" " 22. kerület, Nagytétényi út " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"3" "19.9" "24" "1" " 16. kerület, Sashalom " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" "5 000 Ft/hó" NA NA NA
"4" "58" "65" "2" " 9. kerület, Viola utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA "4 m²" NA NA
"5" "30.99" "52" "3" " 10. kerület, Kobánya – Óhegyi lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA NA NA
"6" "29.8" "55" "2" " 13. kerület, Taksony utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "udvari beálló - bérelheto" "1950-1980 között" NA "5 m²" NA NA
"7" "39.5" "68" "3" " 3. kerület, Óbudai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA NA
"8" "66.5" "112" "4" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA "6 m²" "van" NA
"9" "26.9" "35" "2" " 15. kerület, Rákospalota – Csobogós utcai lakótelep " "felújított" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "17 000 Ft/hó" NA NA NA
"10" "104.9" "99" "3" " 1. kerület, Víziváros – Váralja " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA "2 m²" NA NA
"11" "24.9" "58" "2" " 15. kerület, Pestújhelyi út " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA NA NA
"12" "58" "65" "2" " 9. kerület, Viola utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "23 000 Ft/hó" "4 m²" "van" "3 M Ft"
"13" "83.9" "109" "4" " 11. kerület, Sasad " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1981-2000 között" "5 000 Ft/hó" NA NA NA
"14" "45" "45" "1" " 2. kerület, Lövoház utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA "22 000 Ft/hó" "2 m²" NA NA
"15" "21.9" "36" "1" " 10. kerület, Szövoszék utca " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület" "1981-2000 között" NA NA NA NA
"16" "34.9" "47" "3" " 9. kerület, Tompa utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"17" "59" "95" "3" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "1950 elott" "20 000 Ft/hó" NA NA NA
"18" "79.9" "46" "1" " 7. kerület, Belso-Erzsébetváros " "újszeru" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "11 000 Ft/hó" NA NA NA
"19" "25.9" "49" "1" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" NA NA "utca, közterület" NA "30 000 Ft/hó" "7 m²" NA NA
"20" "53.8" "77" "2" " 9. kerület, Középso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "16 000 Ft/hó" NA NA NA
