"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "55.9" "72" "3" " 7. kerület, István utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "24" "57" "2" " 20. kerület, Helsinki út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "7 m²" NA NA NA NA
"3" "49.9" "74" "3" " 7. kerület, Garay utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"4" "63.5" "53" "2" " 2. kerület, Orsó utca " "felújított" "2001-2010 között" "luxus" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "egyéb kazán, padlófutés" "nem" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "7 m²" "van" "5.5 M Ft" NA NA
"5" "45.9" "73" "3" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA "11 000 Ft/hó" "nincs megadva"
"6" "22.8" "27" "1" " 14. kerület, Egressy út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "63.9" "71" "2" " 12. kerület, Dolgos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "25.9" "30" "1" " 11. kerület, Eromu utca 6. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "15 000 Ft/hó" NA
"9" "29.9" "61" "2" " 21. kerület, Nyuszi sétány " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA NA
"10" "49.9" "90" "2" " 14. kerület, Ajtósi Dürer sor " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA "35 000 Ft/hó" NA
"11" "21.9" "27" "1" " 18. kerület, Barta Lajos utca 1. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA "25 000 Ft/hó" "nincs megadva"
"12" "28.9" "33" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"13" "35" "32" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "61.75" "63" "3" " 11. kerület, Rodostó utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "4 m²" "van" NA NA "részt vett"
"15" "42.9" "39" "2" " 3. kerület, Újlak " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "47.5" "54" "2" " 14. kerület, Locsei út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "7 m²" NA NA NA NA
"17" "59.9" "42" "1" " 5. kerület, Lipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"18" "27.75" "39" "1" " 9. kerület, Telepy utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"19" "70" "102" "2" " 7. kerület, Középso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "30.9" "71" "2" " 4. kerület, Berda József utca " "felújított" NA "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "van" NA NA "nincs megadva"
