"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "79.4" "71" "3" " 13. kerület, Danubius utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "15.79 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "4.5 M Ft" NA
"2" "63.9" "86" "3" " 8. kerület, Múzeum körút " "jó állapotú" "1950 elott" "összkomfortos" "DD" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA NA
"3" "39" "58" "1" " 7. kerület, Sajó utca 2. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"4" "25" "72" "2" " 18. kerület, Havanna utca " "felújítandó" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett"
"5" "63.9" "64" "2" " 2. kerület, Ozgida utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5.5 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "8 M Ft" NA
"6" "46.5" "55" "2" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"7" "26.5" "55" "3" " 15. kerület, Páskomliget utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"8" "32.99" "70" "2" " 15. kerület, Páskomliget utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "8 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
"9" "39.9" "57" "2" " 14. kerület, Telepes utca " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4.15 m²" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "3 M Ft" NA
"10" "45" "70" "2" " 11. kerület, Kelenföld " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "39.9" "54" "2" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "udvari beálló" NA NA
"12" "144.9" "194" "4" " 5. kerület, Szent István körút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"13" "139" "107" "3" " 3. kerület, Remetehegy " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "kelet" "panorámás" "58 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "29.9" "33" "2" " 8. kerület, Lujza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"15" "112" "92" "2.5" " 12. kerület, Árnyas út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
