"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "37.9" "39" "1" " 2. kerület, Frankel Leó út " "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "nincs megadva" "dél" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "74.9" "95" "3" " 7. kerület, Hernád utca " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "73.9" "91" "3" " 3. kerület, Föld utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"4" "32.5" "52" "2" " 3. kerület, Kerék utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "13 000 Ft/hó" "nincs megadva" NA
"5" "25.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA
"6" "60.9" "49" "4" " 7. kerület, Erzsébet körút " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"7" "33.2" "61" "3" " 15. kerület, Fo út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "69.9" "67" "3" " 13. kerület, Kresz Géza utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"9" "82.5" "72" "2" " 3. kerület, Gölöncsér utca " "nincs megadva" "nincs megadva" "nincs megadva" "1" "földszintes" "nincs" "nincs megadva" "hoszivattyú, padlófutés" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"10" "52.2" "64" "2" " 9. kerület, Angyal utca " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA
"11" "43.9" "63" "2" " 7. kerület, Rottenbiller utca " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "129.9" "60" "2" " 2. kerület, Rózsadomb " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA
"13" "18" "18" "1" " 7. kerület, Garay utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "89.5" "120" "5" " 8. kerület, Kerepesi út " "felújított" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"15" "24.9" "46" "1" " 14. kerület, Szentmihályi út " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"16" "51.5" "70" "2.5" " 11. kerület, Albert utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs megadva" NA
"17" "48" "48" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "egy helyiségben" "északkelet" "utcai" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "2001-2010 között" NA NA "20 000 Ft/hó"
"18" "41.9" "50" "2" " 14. kerület, Szugló utca " "nincs megadva" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "5 m²" "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"19" "27.9" "35" "1" " 7. kerület, Marek József utca " "felújított" "összkomfortos" "BB" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "9 400 Ft/hó" NA NA
"20" "24" "34" "1" " 10. kerület, Kobánya – Óhegy " "újszeru" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület - ingyenes" "2001-2010 között" NA NA NA
