"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "39.9" "71" "2" " 4. kerület, Virág utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "39" "69" "2.5" " 15. kerület, Vácduka tér " "jó állapotú" "összkomfortos" "GG" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1950-1980 között" "van" "30 000 Ft/hó" "4 m²" NA
"3" "99.9" "101" "4" " 13. kerület, Tutaj utca 2. " "jó állapotú" "duplakomfortos" "nincs megadva" "8" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" "2001-2010 között" "van" NA NA NA
"4" "30" "31" "1" " 6. kerület, Podmaniczky utca " "újszeru" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" NA "utca, közterület - fizetos övezet" "1981-2000 között" "van" "23 000 Ft/hó" NA NA
"5" "27.99" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"6" "34.8" "43" "1" " 7. kerület, Klauzál utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"7" "48" "52" "2" " 1. kerület, Ág utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" "13 000 Ft/hó" "9 m²" NA
"8" "31.9" "34" "1" " 8. kerület, II. János Pál pápa tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "25 000 Ft/hó" NA NA
"9" "20.5" "25" "1" " 13. kerület, Kassák Lajos utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"10" "31.5" "54" "2" " 14. kerület, Alsórákos " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "1981-2000 között" "nincs" "20 000 Ft/hó" "4 m²" NA
"11" "21.99" "53" "2" " 18. kerület, Havanna-lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA
"12" "36.9" "43" "2" " 7. kerület, Csengery utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
"13" "59.2" "66" "2" " 9. kerület, Külso-Ferencváros " "újszeru" "összkomfortos" "AA+" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön és egyben is" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2019" "van" "36 000 Ft/hó" "20 m²" "5 M Ft"
