"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "55" "54" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "44.9" "60" "2" " 14. kerület, Zsolnay Vilmos utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "59.9" "94" "3" " 11. kerület, Kelenföld " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "22.9" "35" "1" " 21. kerület, József Attila utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt" NA NA NA
"5" "38" "53" "2" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "nincs megadva" NA "nincs megadva" "14 000 Ft/hó" "3 m²" NA
"6" "94.9" "89" "3" " 13. kerület, Visegrádi utca " "felújított" NA "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "35 000 Ft/hó" NA NA
"7" "26.9" "26" "1" " 12. kerület, Alkotás utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "41.9" "50" "2" " 22. kerület, Tóth József utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "nincs" NA NA NA NA
"9" "48" "59" "3" " 10. kerület, Laposdulo " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "20 000 Ft/hó" "1.2 m²" "3 M Ft"
"10" "89.2" "104" "4" " 16. kerület, Rákosszentmihály " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA "23 m²" NA
"11" "40" "65" "2" " 18. kerület, Tövishát utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "4 m²" NA
"12" "35.5" "54" "2" " 22. kerület, Budafok – Arany János utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" "nem" NA "utca, közterület" NA NA NA "6 m²" NA
"13" "29.9" "50" "2" " 14. kerület, Alsórákos " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" NA "nincs megadva" NA NA NA "6 m²" NA
"14" "36.9" "68" "2" " 18. kerület, Sina Simon sétány " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" "van" NA NA "3 m²" NA
"15" "62.99" "69" "2" " 2. kerület, Országút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"16" "54.9" "52" "2" " 2. kerület, Újlak " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA "2.4 m²" NA
"17" "50.9" "73" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"18" "34.9" "50" "2" " 14. kerület, Pillangó park " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "van" "részt vett" NA "4 m²" NA
"19" "35.49" "50" "2" " 11. kerület, Rátz László utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA NA
"20" "36.9" "51" "2" " 14. kerület, Egressy út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "4 m²" NA
