"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "erkely" "panelprogram"
"1" "44.9" "40" "1" " 1. kerület, Mészáros utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "nincs megadva" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "25.9" "30" "1" " 7. kerület, Izabella utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "52.5" "83" "3" " 7. kerület, Dembinszky utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA NA
"4" "23.1" "33" "1" " 8. kerület, Szerdahelyi utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "25.9" "30" "1" " 13. kerület, Palóc utca 4. " "újszeru" "2016" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "3 M Ft" NA NA
"6" "32" "52" "1" " 16. kerület, Jókai Mór utca " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "25 000 Ft/hó" NA "8 m²" "nem vett részt"
"7" "38" "49" "2" " 13. kerület, Népfürdo utca " "felújított" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "29 000 Ft/hó" NA "4 m²" "nincs megadva"
"8" "13.7" "22" "1" " 15. kerület, Szerencs utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA
"9" "136" "144" "4" " 12. kerület, Rácz Aladár út " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" "12 000 Ft/hó" NA "49 m²" NA
"10" "90.9" "91" "4" " 11. kerület, Madárhegy " "újszeru" "2015" "luxus" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" "17 000 Ft/hó" "5 M Ft" "77 m²" NA
