"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "51.07" "59" "2" " 11. kerület, Albertfalva " "nincs megadva" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "padlófutés, házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "kertre nézo" "11 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" NA NA NA NA
"2" "31.9" "71" "3" " 8. kerület, Vajda Péter utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" "1950 elott" NA NA NA
"3" "36.99" "51" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" "nincs megadva" NA NA
"4" "63" "93" "3" " 7. kerület, Nefelejcs utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "46.78" "44" "2" " 11. kerület, Gazdagrét " "nincs megadva" "duplakomfortos" "AA++" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "8.25 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2020" NA "van" "3.15 M Ft"
"6" "27.9" "30" "1" " 7. kerület, Murányi utca 42. " "felújított" "komfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA NA
"7" "85.9" "75" "2" " 2. kerület, Margit körút " "felújított" "nincs megadva" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "35 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "nincs" NA
"8" "26.4" "59" "2" " 19. kerület, Jáhn Ferenc utca " "jó állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA
"9" "79.9" "68" "4.5" " 7. kerület, Jósika utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"10" "51.99" "50" "2" " 1. kerület, Víziváros " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "nincs" NA
"11" "27.49" "57" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújítandó" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nem vett részt" NA NA
"12" "85.9" "75" "2" " 2. kerület, Országút " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "35 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"13" "32" "44" "1" " 14. kerület, Balázs utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
