"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara" "legkondicionalo"
"1" "68.9" "86" "2" " 12. kerület, Városmajor utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "79.9" "109" "3" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "24.9" "68" "3" " 10. kerület, Kobánya – Újhegyi lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "73.9" "74" "2" " 13. kerület, Balzac utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "13 000 Ft/hó" NA NA
"5" "85.9" "121" "3" " 2. kerület, Keleti Károly utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "23.4" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA NA
"7" "59.2" "67" "2" " 9. kerület, Középso-Ferencváros " "új építésu" "2019" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "4.8 M Ft" NA
"8" "53.9" "58" "2" " 5. kerület, Podmaniczky Frigyes tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs"
"9" "56.6" "71" "1" " 5. kerület, Havas utca 2. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nincs"
"10" "62" "57" "2" " 5. kerület, Falk Miksa utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "van"
"11" "44.9" "50" "1" " 9. kerület, Középso-Ferencváros – Malmok " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "10 000 Ft/hó" NA NA
"12" "27.88" "55" "2" " 9. kerület, József Attila-lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "239" "182" "5" " 12. kerület, Béla király út " "újszeru" "2001-2010 között" "luxus" "CC" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "64 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA "van"
"14" "27.99" "43" "1" " 13. kerület, Jász utca " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "nyugat" "panorámás" NA "nem" NA "utca, közterület - fizetos övezet" NA NA NA "nincs"
"15" "32.9" "32" "1" " 8. kerület, Or utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "49" "78" "2" " 8. kerület, Csepreghy utca 3. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "108.9" "92" "3" " 12. kerület, Csorna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "33.1" "37" "1" " 7. kerület, Akácfa utca 24. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "45" "50" "2" " 9. kerület, Csarnok tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"20" "24.4" "41" "1" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nem vett részt" "9 000 Ft/hó" NA "nincs"
