"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "37.9" "56" "2" " 13. kerület, Visegrádi utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "22.2" "35" "1" " 18. kerület, Havanna utca " "felújított" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" "nincs megadva" NA NA NA
"3" "29.9" "38" "1" " 7. kerület, Peterdy utca 39. " "felújított" "összkomfortos" "DD" "félemelet" "5" "van" "3 m vagy magasabb" "elektromos" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "9 000 Ft/hó" NA NA
"4" "26.5" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA NA
"5" "33.5" "41" "1" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"6" "37.8" "51" "1" " 9. kerület, Telepy utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "74.9" "68" "1" " 12. kerület, Sashegy " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA "8 m²" NA
"8" "99.95" "91" "5" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "1 m²" NA
"9" "49.9" "63" "1" " 12. kerület, Krisztinaváros " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"10" "18" "39" "1" " 10. kerület, Sörgyár utca 35. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "26 000 Ft/hó" NA NA
"11" "69.84" "97" "4" " 14. kerület, Kövér Lajos utca " "újszeru" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "14 m²" NA
"12" "41" "46" "2" " 14. kerület, Kövér Lajos utca " "újszeru" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "önálló garázs - megvásárolható" NA NA NA "18 m²" "3 M Ft"
"13" "41" "46" "2" " 14. kerület, Kövér Lajos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "18 m²" NA
"14" "25" "50" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújítandó" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" "nincs megadva" NA "3.5 m²" NA
"15" "49" "60" "2" " 13. kerület, Bodor utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "35 000 Ft/hó" "8 m²" NA
"16" "22.5" "26" "1" " 6. kerület, Bajnok utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"17" "32.5" "42" "2" " 8. kerület, Dobozi utca " "újszeru" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA "5 m²" NA
"18" "30.9" "51" "2" " 18. kerület, Szent Lorinc-lakótelep " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA "3 m²" NA
