"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"1" "95" "83" "2" " 6. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "23.5" "35" "1" " 14. kerület, Törökor " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "nincs" "25 000 Ft/hó" NA NA NA
"3" "54" "63" "1" " 13. kerület, Kresz Géza utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "2 m²" NA NA
"4" "37.5" "54" "2" " 11. kerület, Menyecske utca " "felújított" "összkomfortos" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" "1981-2000 között" "nincs" "20 000 Ft/hó" NA NA NA
"5" "85" "88" "4" " 3. kerület, Hunor utca " "újszeru" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2012" "van" NA "4 m²" "6 M Ft" NA
"6" "28.45" "41" "1" " 11. kerület, Kelenföld " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA NA
"7" "45.9" "64" "2" " 14. kerület, Istvánmezo " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "13 000 Ft/hó" "2.6 m²" NA NA
"8" "36.5" "64" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "4 m²" NA "részt vett"
"9" "47.99" "83" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújítandó" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "54" "72" "2.5" " 11. kerület, Menyecske utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA "részt vett"
"11" "53.5" "50" "2" " 1. kerület, Lánchíd utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "dél" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "35 000 Ft/hó" NA NA NA
"12" "35.9" "46" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "nincs megadva" "igen" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA "7 000 Ft/hó" NA NA NA
