"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "65" "71" "2" " 12. kerület, Kléh István utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "29" "31" "1" " 13. kerület, Dráva utca 6. " "jó állapotú" "összkomfortos" "F" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA NA NA
"3" "53.86" "63" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "10.4 m²" "igen" "nem tetotéri" "nincs megadva" "2020" "van" NA NA NA
"4" "88.34" "113" "4" " 13. kerület, Kucsma utca " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "46.37 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" "3.2 M Ft" NA NA
"5" "81" "98" "4" " 7. kerület, Erzsébet körút " "jó állapotú" "komfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" NA NA NA NA
"6" "37.5" "48" "2" " 14. kerület, Herminamezo " "felújított" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "66.9" "74" "3" " 13. kerület, Pannónia utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA NA
"8" "59.64" "76" "3" " 13. kerület, Kucsma utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "37.21 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" "3.2 M Ft" NA NA
"9" "26.9" "48" "2" " 3. kerület, Óbudai lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA "10 500 Ft/hó" "nem vett részt"
"10" "36" "40" "2" " 13. kerület, Petneházy utca " "újszeru" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA NA
"11" "27" "54" "2" " 17. kerület, Kaszáló utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA "nem vett részt"
"12" "54.99" "78" "2" " 4. kerület, József Attila utca 94-100 " "nincs megadva" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "27.2 m²" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "2019" NA "20 000 Ft/hó" NA NA
"13" "37.5" "48" "2" " 14. kerület, Herminamezo " "felújított" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"14" "47.3" "96" "3" " 21. kerület, II. Rákóczi Ferenc út " "jó állapotú" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "fan-coil" "igen" "külön és egyben is" "délnyugat" "panorámás" "46 m²" "igen" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "2.4 M Ft" NA NA
"15" "29.5" "63" "2" " 21. kerület, Rakéta utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA "nincs megadva"
"16" "52.9" "51" "2" " 3. kerület, Harsánylejto " "nincs megadva" "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" "5 M Ft" NA NA
