"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "24.9" "37" "1" " 17. kerület, Rákoskeresztúr " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "28.7" "56" "2" " 16. kerület, Csipkés köz " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" NA "nincs megadva" "36 000 Ft/hó" NA NA
"3" "94.9" "78" "2" " 5. kerület, Stollár Béla utca " "újszeru" "1950 elott" "luxus" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "van" NA
"4" "20.5" "28" "1" " 8. kerület, Dugonics utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "72.7" "55" "1" " 6. kerület, Király utca " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA
"6" "49.9" "68" "2" " 6. kerület, Szondi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "155.2" "147" "4" " 6. kerület, Belso-Terézváros " "újszeru" "2019" "luxus" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "34 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" NA
"8" "139" "107" "3" " 3. kerület, Nánási út 75-77 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "28 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "64.9" "107" "4" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "44.9" "51" "1" " 2. kerület, Újlak " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "168" "94" "5" " 5. kerület, Károly körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "53.5" "59" "1" " 7. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "38.9" "53" "2" " 15. kerület, Aporháza utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "6 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló" "25 000 Ft/hó" NA NA
"14" "28" "37" "1" " 8. kerület, Auróra utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "39.9" "74" "3" " 13. kerület, Szent László út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "34.3" "78" "3" " 8. kerület, Józsefváros – Magdolnanegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" "nincs" NA
