"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "32.5" "69" "2" " 22. kerület, Leányka utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "51.99" "91" "2" " 6. kerület, Bajza utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "39.9" "71" "2" " 8. kerület, Blaha Lujza tér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "utca, közterület" "nem tetotéri" NA NA NA NA
"4" "109" "113" "2" " 6. kerület, Hajós utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "északnyugat" "utcai" "1.5 m²" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" "nincs" NA NA NA
"5" "29.9" "59" "3" " 19. kerület, Hungária út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA
"6" "73.5" "66" "2" " 9. kerület, Belso-Ferencváros " "felújított" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nem tetotéri" "nincs" NA NA NA
"7" "23.5" "38" "1" " 3. kerület, Madzsar József utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "utca, közterület" "nincs megadva" "van" NA NA NA
"8" "79" "67" "2" " 13. kerület, Újlipótváros " "felújított" "2019" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" "van" "22 000 Ft/hó" NA NA
"9" "29.99" "55" "2" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" NA NA "nincs megadva" NA
"10" "53.9" "76" "1.5" " 8. kerület, Baross utca 131. " "közepes állapotú" "2001-2010 között" "komfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "3.5 m²" "nincs megadva" "udvari beálló - bérelheto" "nem tetotéri" "van" "45 000 Ft/hó" NA NA
"11" "47" "80" "2" " 16. kerület, Felsomalom utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "kertre nézo" "8 m²" "igen" "udvari beálló - kötelezo megvenni" "nem tetotéri" NA NA NA "1.5 M Ft"
"12" "25.9" "49" "2" " 14. kerület, Hungária körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" "nincs" NA NA NA
"13" "31.5" "43" "2" " 7. kerület, Garay utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "egy helyiségben" "kelet" "udvari" "6 m²" "nem" "utca, közterület" "nem tetotéri" "van" NA NA NA
"14" "51.5" "69" "2" " 12. kerület, Zalai út 5. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "3.4 m²" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs" NA NA NA
"15" "27.9" "57" "2" " 3. kerület, Hollós Korvin Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA "11 500 Ft/hó" "nincs megadva" NA
"16" "26.9" "53" "2" " 15. kerület, Nádastó park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "nyugat" "utcai" NA "nem" "utca, közterület" "nem tetotéri" NA NA "nincs megadva" NA
"17" "27.9" "41" "1" " 9. kerület, Ülloi út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" NA "nem" "utca, közterület" "nem tetotéri" NA NA NA NA
"18" "273.75" "219" "4" " 5. kerület, Ferenczy István utca " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "12 m²" "nincs megadva" "nincs megadva" "tetotéri" "van" NA NA NA
"19" "208" "144" "4" " 6. kerület, Oktogon " "felújított" "1950 elott" "luxus" "AA" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" "nincs" "29 200 Ft/hó" NA NA
