"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "25.6" "50" "2" " 10. kerület, Szolovirág utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "részt vett" "nincs megadva" NA NA NA
"2" "24.9" "52" "2" " 19. kerület, Kispesti lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nem" "nincs megadva" "nem vett részt" "nincs megadva" "nincs" NA NA
"3" "32.7" "50" "2" " 3. kerület, Kerék utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"4" "47.7" "58" "2" " 6. kerület, Szív utca " "újszeru" "2012" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "udvari beálló - kötelezo megvenni" NA "2.5 M Ft" NA
"5" "27.5" "41" "1" " 18. kerület, Újpéteritelep " "jó állapotú" "2012" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "25 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "van" NA "12 000 Ft/hó"
"6" "29.99" "57" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "31.5" "36" "1" " 8. kerület, Kálvária tér 3. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "25 000 Ft/hó"
"8" "12.9" "25" "1" " 21. kerület, Csepel-Gyártelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA NA
"9" "73.9" "115" "3" " 8. kerület, Népszínház utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"10" "74.9" "92" "3" " 13. kerület, Visegrádi utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
