"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "lakopark_neve" "panelprogram"
"1" "135.77" "109" "4" " 11. kerület, Beléndek utca " "új építésu" "2019" "luxus" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "van" "nem" "külön és egyben is" "dél" "panorámás" "87 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA NA
"2" "159.9" "126" "3" " 5. kerület, Veres Pálné utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "184.9" "120" "4" " 5. kerület, Szemere utca " "felújított" "1950 elott" "luxus" "BB" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "24 600 Ft/hó" NA NA
"4" "33.8" "34" "1" " 13. kerület, Angyalföld " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7.43 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" NA NA NA NA
"5" "62.99" "74" "3" " 2. kerület, Margit körút " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "37.6" "43" "2" " 20. kerület, Vízisport utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "24 m²" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "1 M Ft" NA NA NA
"7" "34" "42" "2" " 15. kerület, Vasutaskert " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "kelet" "kertre nézo" "5.3 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "1.6 M Ft" NA "Vasutaskert" NA
"8" "34.4" "43" "2" " 15. kerület, Vasutaskert " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "1.6 M Ft" NA "Vasutaskert" NA
"9" "23" "33" "1" " 13. kerület, Röppentyu utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "79.9" "102" "3" " 2. kerület, Káplár utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA "22 000 Ft/hó" NA NA
"11" "158.39" "169" "4" " 11. kerület, Beléndek utca " "új építésu" "2019" "duplakomfortos" "AA+" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "van" "nem" "külön és egyben is" "dél" "kertre nézo" "59 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA NA
"12" "164.14" "148" "4" " 11. kerület, Beléndek utca " "új építésu" "2019" "duplakomfortos" "AA+" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "van" "nem" "külön és egyben is" "dél" "kertre nézo" "62.05 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA NA
"13" "34.9" "55" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "2 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "49.8" "60" "2" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "délkelet" "utcai" "5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"15" "42.89" "63" "3" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"16" "98.8" "104" "3" " 5. kerület, Báthory utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "36" "66" "3" " 15. kerület, Páskom park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés, elektromos" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nem vett részt"
"18" "34.4" "43" "2" " 15. kerület, Vasutaskert " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "kertre nézo" "4.88 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "1.6 M Ft" NA "Vasutaskert" NA
"19" "144.9" "147" "4" " 3. kerület, Mátyáshegy " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"20" "53.9" "45" "2" " 8. kerület, Corvin sétány 6. " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" "7 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
