"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "45.9" "88" "4" " 8. kerület, Leonardo da Vinci utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "78.02" "85" "3" " 9. kerület, Pápay István utca 5. " "nincs megadva" "2020" "duplakomfortos" "AA+" "6" "9" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "13 m²" "5 M Ft" NA NA
"3" "70" "82" "3" " 6. kerület, Székely Bertalan utca " "közepes állapotú" NA "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "159" "90" "3" " 12. kerület, Németvölgy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "nincs" "20 m²" "4.8 M Ft" NA NA
"5" "36.6" "52" "2" " 14. kerület, Kerepesi út " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA "10 381 Ft/hó" NA
"6" "54.9" "65" "3" " 6. kerület, Podmaniczky utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "44.9" "36" "1" " 11. kerület, Kondorosi út 10. " "újszeru" "2001-2010 között" "összkomfortos" "CC" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "18 m²" NA "15 000 Ft/hó" NA
"8" "41.5" "44" "2" " 12. kerület, Böszörményi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA "25 000 Ft/hó" NA
"9" "24.9" "46" "2" " 21. kerület, II. Rákóczi Ferenc út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA "nincs megadva"
"10" "32.9" "37" "1" " 14. kerület, Kerepesi út " "felújított" NA "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"11" "71.8" "80" "3" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "33.5" "53" "2" " 11. kerület, Tuzko utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA "nincs megadva"
"13" "27.9" "50" "2" " 3. kerület, Búza utca 6. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA NA "nincs megadva"
"14" "76.5" "79" "2" " 5. kerület, Ferenciek tere 5. " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "van" NA NA NA NA
