"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"1" "39.5" "58" "3" " 13. kerület, Népfürdo utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "8" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "75" "69" "3" " 5. kerület, Károly körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "tetotéri" "utca, közterület" NA NA NA NA
"3" "27.99" "59" "2" " 19. kerület, Dobó Katica utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "részt vett" NA NA
"4" "134.8" "125" "4" " 13. kerület, Danubius utca 3. " "újszeru" "2019" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "panorámás" "25 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "5 M Ft" NA
"5" "50" "75" "2" " 8. kerület, József utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "78.8" "72" "3" " 11. kerület, Garda utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "panorámás" "7 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "5 M Ft" NA
"7" "58.8" "54" "2" " 13. kerület, Danubius utca 3. " "újszeru" "2019" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "4.8 M Ft" NA
"8" "24.9" "23" "1" " 7. kerület, Klauzál utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "35" "38" "1" " 13. kerület, Ipoly utca 24/A " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"10" "69.9" "58" "3" " 12. kerület, Galgóczy köz " "felújított" "1981-2000 között" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés, gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "igen" "nincs megadva" "önálló garázs - megvásárolható" "van" NA NA "16 000 Ft/hó"
"11" "28.5" "50" "2" " 3. kerület, Víziorgona utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "házközponti" "igen" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt" NA NA
"12" "31.5" "69" "3" " 15. kerület, Drégelyvár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA NA
"13" "39.4" "40" "2" " 9. kerület, Nádasdy utca " "újszeru" "2015" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "45.9" "58" "1" " 7. kerület, Rottenbiller utca " "jó állapotú" "1950 elott" "összkomfortos" "EE" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA "22 000 Ft/hó"
"15" "27.8" "68" "2" " 19. kerület, Esze Tamás utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "önálló garázs" NA NA NA NA
"16" "30.3" "36" "1" " 2. kerület, Huvösvölgyi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "42.82" "52" "2" " 13. kerület, Tahi utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "udvari" "4 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"18" "40" "52" "2" " 13. kerület, Visegrádi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "58.99" "66" "2" " 11. kerület, Vak Bottyán utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "panorámás" "5 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" "van" NA NA "14 200 Ft/hó"
"20" "33.5" "57" "3" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "4.5 m²" "nincs megadva" NA "nincs megadva" NA NA NA "11 000 Ft/hó"
