"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg"
"1" "24.95" "54" "2" " 10. kerület, Elod utca 10. " "közepes állapotú" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "10 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA
"2" "121" "110" "2" " 7. kerület, Erzsébet körút " "felújított" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" "27 000 Ft/hó"
"3" "104" "112" "5" " 9. kerület, Tuzoltó utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nincs megadva" NA "utca, közterület" "1950 elott" NA
"4" "25" "32" "1" " 8. kerület, Orczy út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület" "1950 elott" "25 000 Ft/hó"
"5" "57.9" "65" "1" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m vagy magasabb" "házközponti" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA
"6" "30.5" "45" "1" " 14. kerület, Istvánmezo " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA
"7" "39.9" "45" "2" " 11. kerület, Lágymányosi lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA
"8" "36.9" "37" "1" " 13. kerület, Kresz Géza utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA
"9" "121" "110" "3" " 7. kerület, Erzsébet körút " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "26 000 Ft/hó"
"10" "18.9" "39" "1" " 20. kerület, Nagysándor József utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "4 800 Ft/hó"
