"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "43" "38" "1" " 12. kerület, Böszörményi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "22 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "3 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA NA
"2" "40" "52" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"3" "95" "95" "4" " 12. kerület, Virányos " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "25.9" "54" "2" " 21. kerület, Nap utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "30 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nem vett részt" NA
"5" "69.5" "129" "5" " 8. kerület, Népszínház utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"6" "20.5" "25" "1" " 13. kerület, Kassák Lajos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "34.9" "49" "2" " 13. kerület, Vizafogó " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "2.5 m²" "nincs megadva" "zárószint" "utca, közterület - fizetos övezet" "nincs megadva" NA
"8" "64.9" "63" "2" " 7. kerület, Király utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "75" "89" "3" " 12. kerület, Krisztinaváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "34.99" "63" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti" NA "30 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"11" "44.9" "37" "1" " 5. kerület, Nyáry Pál utca 3. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" NA "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA
"12" "48.9" "54" "3" " 7. kerület, Rózsa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "31.5" "55" "2" " 15. kerület, Énekes utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "házközponti" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"14" "112.2" "72" "3" " 11. kerület, Hosszúrét " "újszeru" "2019" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "24 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"15" "79.45" "101" "4" " 12. kerület, Krisztinaváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "elektromos" "van" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "69.85" "78" "2" " 5. kerület, Vármegye utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "19.9" "30" "2" " 15. kerület, Pestújhely " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
