"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "53.29" "78" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "37.9" "43" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "44.9" "48" "1" " 3. kerület, Bóbita utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"4" "31.9" "42" "2" " 8. kerület, Lujza utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "21.81" "35" "1" " 14. kerület, Telepes utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "33.9" "55" "2" " 4. kerület, Bródy Imre utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "36.9" "50" "2" " 7. kerület, Hársfa utca 18. " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "igen" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "31.9" "48" "1" " 13. kerület, Tahi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "észak" "utcai" "5.25 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "28 000 Ft/hó" NA NA
"9" "24.8" "25" "1" " 7. kerület, Murányi utca 61. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "49.9" "62" "1" " 7. kerület, Erzsébet körút " "jó állapotú" NA "komfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"11" "27.99" "26" "1" " 7. kerület, Jósika utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "48.9" "74" "3" " 8. kerület, Baross utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "észak" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "29 000 Ft/hó" NA NA
"13" "51" "90" "3" " 16. kerület, Rákóczi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
