"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram"
"1" "44.9" "50" "1" " 12. kerület, Városmajor utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "2 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "27.4" "43" "2" " 18. kerület, Lakatos-lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA
"3" "40" "52" "2" " 11. kerület, Etele út " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "nincs megadva"
"4" "65" "60" "2.5" " 2. kerület, Felso Zöldmáli út " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" NA "utca, közterület - ingyenes" NA NA
"5" "21.8" "34" "1" " 9. kerület, Gyáli út " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA
"6" "35.8" "40" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "házközponti" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA
"7" "120" "78" "2" " 5. kerület, Balassi Bálint utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"8" "74.8" "120" "3" " 7. kerület, Alsó erdosor " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA
"9" "56" "74" "2" " 7. kerület, Alsó erdosor " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "23.7" "47" "1" " 21. kerület, Katona József utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"11" "29" "31" "1" " 6. kerület, Szív utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "27 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA
"12" "36.9" "34" "1" " 2. kerület, Fenyves utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA
"13" "30.5" "50" "2" " 8. kerület, Szigony utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" NA "igen" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nem vett részt"
"14" "29.8" "52" "2" " 8. kerület, Szigony utca " "jó állapotú" "nincs megadva" "nincs megadva" "10" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "40 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"15" "63.2" "63" "3" " 9. kerület, Mester utca " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA
"16" "64.9" "63" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA
"17" "59.9" "93" "3" " 14. kerület, Szabó József utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA
"18" "26" "28" "1" " 13. kerület, Szekszárdi utca 32. " "felújított" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "7 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "utca, közterület" NA NA
"19" "77.5" "99" "3" " 22. kerület, Ibrik utca " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "22 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2020" NA
"20" "49.5" "40" "2" " 7. kerület, Dob utca " "felújított" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "10 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2017" NA
