"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "legkondicionalo" "parkolohely_ara"
"1" "97" "150" "5" " 22. kerület, Budafok " "új építésu" "2019" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "43 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "37.9" "68" "3" " 10. kerület, Bányató utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "27.9" "56" "3" " 3. kerület, Zemplén Gyozo utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA NA
"4" "39.9" "58" "2" " 7. kerület, Alsó erdosor " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "13 000 Ft/hó" NA NA
"5" "37.9" "58" "2" " 13. kerület, Dózsa György út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "55" "97" "4" " 8. kerület, József utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs" NA
"7" "25" "39" "2" " 9. kerület, Epreserdo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA
"8" "84.9" "67" "2" " 7. kerület, Wesselényi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "25.5" "30" "1" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "59.99" "66" "2" " 6. kerület, Teréz körút 52. " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA
