"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo"
"1" "79.9" "146" "4" " 7. kerület, Rózsa utca " "felújítandó" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "21.99" "52" "1" " 10. kerület, Kobánya-Városközpont " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "25 000 Ft/hó" NA NA NA
"3" "128" "150" "5" " 2. kerület, Törökvész " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "20 m²" NA NA
"4" "40.99" "54" "2" " 11. kerület, Gazdagréti lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3.5 m²" "nincs megadva" NA
"5" "25.8" "54" "2" " 4. kerület, Bárdos Artúr utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²" "nincs megadva" NA
"6" "51.9" "80" "3" " 6. kerület, Külso-Terézváros " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "7 m²" NA NA
"7" "24.99" "48" "2" " 20. kerület, Erzsébetfalva " "felújított" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA "8 m²" NA "nincs"
"8" "40" "52" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"9" "54.5" "62" "3" " 11. kerület, Kelenföldi út " "nincs megadva" "nincs megadva" "nincs megadva" "5" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2019" NA NA NA "van"
"10" "30" "72" "2" " 18. kerület, Havanna utca 60. " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "12 800 Ft/hó" "4 m²" "részt vett" "van"
"11" "64.9" "81" "3" " 7. kerület, Nyár utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "45.9" "48" "2" " 7. kerület, Király utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "31.9" "35" "1" " 11. kerület, Kelenföld " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"14" "34.5" "49" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"15" "28.5" "30" "1" " 9. kerület, Belso-Ferencváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"16" "59.9" "77" "3" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
