"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara"
"1" "25.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA
"2" "49.9" "64" "2" " 7. kerület, Akácfa utca " "felújítandó" NA "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nincs megadva" NA "teremgarázs hely - bérelheto" NA
"3" "17.4" "33" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"4" "29.7" "59" "2" " 19. kerület, Kispest " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"5" "28.5" "45" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"6" "24.9" "35" "1" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"7" "33.9" "65" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"8" "31.99" "57" "2" " 9. kerület, Pöttyös utca 4. " "jó állapotú" NA "összkomfortos" "DD" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "3.5 m²" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület" NA
"9" "49.9" "42" "2" " 6. kerület, Csengery utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
"10" "52.9" "63" "3" " 14. kerület, Ilosvai Selymes utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nem" "külön helyiségben" "északnyugat" "udvari" "4 m²" "nem" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" "2 M Ft"
"11" "26.9" "40" "2" " 14. kerület, Hungária körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA
