"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "erkely" "tetoter" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "48.9" "68" "3" " 14. kerület, Nagyzugló " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" NA NA NA NA NA
"2" "130" "122" "3" " 3. kerület, Folyondár utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nem tetotéri" NA NA NA
"3" "41.5" "59" "3" " 3. kerület, Berend utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nem tetotéri" "nincs megadva" NA NA
"4" "43.95" "69" "3" " 3. kerület, Váradi utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nem tetotéri" "nincs megadva" NA NA
"5" "58.33" "83" "3" " 14. kerület, Törökor " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nem" "nincs megadva" "2 m²" NA NA NA NA
"6" "33.9" "60" "2" " 13. kerület, Dagály utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA NA
"7" "38.5" "50" "2" " 11. kerület, Tétényi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "9 250 Ft/hó" NA
"8" "35.9" "60" "2" " 14. kerület, Rákospatak park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "utca, közterület - ingyenes" "7 m²" "nem tetotéri" "nincs megadva" NA "nincs"
"9" "32.99" "67" "3" " 15. kerület, Pestújhely " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "északkelet" "utcai" "nem" "nincs megadva" "4 m²" "nem tetotéri" "nincs megadva" NA NA
"10" "78.5" "88" "3" " 9. kerület, Páva utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "utca, közterület" "8 m²" "nem tetotéri" NA "54 000 Ft/hó" "van"
"11" "73.9" "77" "3" " 5. kerület, Falk Miksa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "utca, közterület" NA "nem tetotéri" NA "37 500 Ft/hó" "nincs"
"12" "52.9" "85" "3" " 7. kerület, István utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA NA
"13" "59.9" "68" "2" " 6. kerület, Zichy Jeno utca 36. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "utca, közterület - fizetos övezet" "4 m²" "nincs megadva" NA "10 000 Ft/hó" "van"
"14" "33.99" "52" "1" " 14. kerület, Istvánmezo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nem" "nincs megadva" NA "nem tetotéri" NA NA NA
