"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "31.4" "50" "2" " 14. kerület, Nagyzugló " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "36.9" "51" "1" " 6. kerület, Külso-Terézváros " "felújítandó" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"3" "71.5" "91" "4" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"4" "35.9" "46" "1" " 14. kerület, Nagyzugló " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "35.9" "46" "1" " 14. kerület, Nagyzugló " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "23.9" "25" "1" " 8. kerület, Rákóczi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "183.61" "142" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" NA NA NA
"8" "36.9" "50" "2" " 14. kerület, Wass Albert tér " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"9" "47" "75" "2" " 7. kerület, Murányi utca " "felújított" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA "30 000 Ft/hó" NA NA
"10" "70" "83" "3" " 1. kerület, Alagút utca " "felújított" "összkomfortos" "CC" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" "1950 elott" NA "29 000 Ft/hó" "10 000 Ft/hó" NA
