"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "99" "114" "3" " 7. kerület, Akácfa utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "30 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "28.5" "56" "2" " 19. kerület, Kós Károly tér " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"3" "125" "160" "5" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "80" "78" "4" " 11. kerület, Otthon utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "39" "56" "2" " 13. kerület, Futár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "48" "66" "2" " 11. kerület, Bertalan Lajos utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "57.9" "94" "3" " 9. kerület, Angyal utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"8" "40.8" "57" "2" " 13. kerület, Hegedus Gyula utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "7 m²" "nincs megadva" NA "udvari beálló" NA NA NA
"9" "24.9" "35" "1" " 4. kerület, Árpád út " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA
"10" "28.8" "51" "2" " 8. kerület, Fecske utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "11 000 Ft/hó" NA
"11" "51.64" "61" "2" " 11. kerület, Albertfalva " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "54.9" "61" "1" " 7. kerület, Erzsébet körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "cserépkályha" "igen" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó" NA
"13" "54.8" "79" "4" " 4. kerület, Megyer – Nagyváradi liget lakópark " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA
"14" "34" "52" "1" " 14. kerület, Ilka utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs"
"15" "29.9" "50" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA "nincs"
"16" "99.9" "60" "3" " 5. kerület, Garibaldi utca " "felújított" "1950 elott" "összkomfortos" "B" "földszint" "4" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "32 000 Ft/hó" "nincs"
"17" "22" "35" "2" " 21. kerület, Ady Endre út " "felújítandó" NA "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "falfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA
"18" "33.9" "65" "2" " 4. kerület, Boröndös utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "dél" "panorámás" "2.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "50 000 Ft/hó" "nincs"
