"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"1" "69.9" "85" "3" " 6. kerület, Rózsa utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "23.9" "31" "1" " 13. kerület, Mohács utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"3" "27.9" "49" "2" " 3. kerület, Bécsi út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "4 m²" "nincs megadva" NA NA
"4" "48" "43" "1" " 8. kerület, Práter utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "69 m²" NA NA NA
"5" "22.5" "38" "1" " 20. kerület, Szent Imre herceg utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA NA NA
"6" "19.9" "30" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "64.9" "97" "3" " 14. kerület, Alsórákos " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "36.9" "66" "3" " 3. kerület, Ágoston utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "4 m²" "nincs megadva" NA NA
"9" "199.5" "83" "3" " 2. kerület, Bimbó út 80. " "új építésu" "2022" "luxus" "AA" "1" "4" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "19 m²" NA "6 M Ft" NA
"10" "249" "150" "4" " 12. kerület, Kiss János altábornagy utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "80 m²" NA NA NA
