"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "33.99" "64" "3" " 4. kerület, Farkaserdo utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "13 000 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"2" "42.5" "60" "2" " 13. kerület, Újlipótváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"3" "36.99" "65" "2" " 4. kerület, Boröndös utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "10 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "3 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"4" "33.5" "65" "2" " 4. kerület, Hajló utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "9 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "1 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"5" "36" "67" "2" " 4. kerület, Lóverseny tér " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "14 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "1 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"6" "63.9" "98" "3" " 6. kerület, Szondi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet"
"7" "99.93" "94" "4" " 11. kerület, Rozsdafarkú utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "62 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"8" "29" "39" "1" " 13. kerület, Angyalföld " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "kelet" "nincs megadva" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület"
"9" "26.99" "41" "1" " 11. kerület, Rof utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes"
"10" "25.5" "47" "1" " 13. kerület, Szent László út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"11" "24.95" "45" "1" " 15. kerület, Mézeskalács tér " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva"
