"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "115" "85" "3" " 13. kerület, Újlipótvárosi lakótelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "74.96" "64" "2" " 6. kerület, Belso-Terézváros " "nincs megadva" "2019" "összkomfortos" "AA++" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "10 m²" NA NA NA
"3" "20.9" "47" "1" " 20. kerület, Nagysándor József utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "6 m²" "nincs" NA NA
"4" "27.9" "46" "2" " 14. kerület, Alsórákos " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" NA "van" "nincs megadva" NA
"5" "38.5" "48" "2" " 6. kerület, Andrássy út 28. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "udvari beálló" NA "nincs" NA "15 000 Ft/hó"
"6" "76.9" "106" "4" " 7. kerület, Szenes Hanna park " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "7.4 m²" "nincs" NA NA
"7" "34.9" "32" "1" " 11. kerület, Kondorosi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "9 m²" NA NA NA
"8" "31.9" "49" "2" " 13. kerület, Övezet utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" "nincs" NA "26 000 Ft/hó"
"9" "46.5" "54" "4.5" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "28.9" "28" "1" " 8. kerület, Mátyás tér " "felújított" "2013" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "44.99" "51" "1" " 7. kerület, Dohány utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "32.2" "29" "1" " 9. kerület, Haller utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA
"13" "89.9" "98" "4" " 3. kerület, Rómaifürdo – Rómaipart " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" NA NA NA
"14" "38.9" "68" "3" " 14. kerület, Istvánmezo " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "3.5 m²" "nincs" "nem vett részt" NA
"15" "19.99" "24" "1" " 13. kerület, Mohács utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "71.99" "94" "4" " 2. kerület, Víziváros " "felújított" NA "összkomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "10 m²" NA NA NA
"17" "75" "62" "2" " 3. kerület, Rómaifürdo " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11 m²" NA NA NA
"18" "26" "56" "2" " 21. kerület, Kiss János altábornagy utca 61. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA "nincs megadva" NA
"19" "52" "47" "2" " 11. kerület, Rodostó utca 4. " "nincs megadva" "2019" "nincs megadva" "BB" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "udvari" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "26.99" "68" "3" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "10" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" "5 m²" "nincs" "nem vett részt" NA
