"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara"
"1" "29.9" "53" "2" " 19. kerület, Városház tér " "felújított" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "3.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "58" "50" "1" " 11. kerület, Oltvány utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "udvari beálló" NA NA NA
"3" "36.9" "38" "1" " 8. kerület, Práter utca " "újszeru" "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "6 m²" "nincs megadva" "nincs megadva" NA "utca, közterület" "2019" NA NA
"4" "42.5" "48" "2" " 2. kerület, Nagyajtai utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" NA "udvari beálló" "1950 elott" NA NA
"5" "94.7" "95" "2" " 1. kerület, Ág utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"6" "74" "75" "3" " 6. kerület, Vörösmarty utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"7" "24.9" "51" "2" " 3. kerület, Lukács György utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA
"8" "23.9" "43" "2" " 8. kerület, Alföldi utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"9" "57" "65" "3" " 2. kerület, Zöldlomb utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "délkelet" "panorámás" "3 m²" "nincs megadva" "legfelso emelet, nem tetotéri" NA "udvari beálló - benne van az árban" "1981-2000 között" NA NA
"10" "49.5" "80" "2.5" " 3. kerület, Silvanus sétány " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA
"11" "29.6" "49" "1" " 14. kerület, Erzsébet királyné útja " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "udvari beálló - bérelheto" "1950-1980 között" NA NA
"12" "34.9" "39" "1" " 13. kerület, Teve utca " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "1981-2000 között" "25 000 Ft/hó" NA
"13" "32.99" "46" "3" " 16. kerület, Köztársaság útja " "újszeru" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "1981-2000 között" NA NA
"14" "74.9" "79" "3" " 11. kerület, Rodostó utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "15 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2019" NA "5.9 M Ft"
"15" "66.75" "80" "3" " 11. kerület, Kalotaszeg utca " "újszeru" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" NA "nem" "nincs megadva" NA "teremgarázs hely - bérelheto" "2001-2010 között" "19 400 Ft/hó" "15 000 Ft/hó"
"16" "139.9" "83" "3" " 5. kerület, Károly körút " "felújított" "luxus" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "10 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "49.9" "67" "2" " 13. kerület, Kis Gömb utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" NA NA
"18" "44.9" "50" "2" " 14. kerület, Cházár András utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "14.23 m²" "igen" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "29 000 Ft/hó" NA
"19" "18.9" "24" "1" " 13. kerület, Mohács utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
