"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara" "legkondicionalo"
"1" "169" "145" "2.5" " 12. kerület, Béla király út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "41 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "29.9" "38" "1" " 8. kerület, Baross utca " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA NA NA
"3" "293.21" "176" "3" " 2. kerület, Lévay utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "104 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "16.99" "35" "1" " 21. kerület, Kossuth Lajos utca 142. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "8" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "7 000 Ft/hó" "nincs megadva" NA NA NA
"5" "224.03" "118" "3" " 5. kerület, Petofi Sándor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "16 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"6" "47.54" "42" "1" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "dél" "udvari" "9.62 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Pápay Park" "5 M Ft" NA
"7" "28" "65" "2" " 15. kerület, Drégelyvár utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA NA NA
"8" "59" "59" "2" " 13. kerület, Hegedus Gyula utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "40" "75" "2" " 8. kerület, Koris utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "18 500 Ft/hó" NA NA NA NA
"10" "54.56" "49" "2" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "9.66 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Pápay Park" "5 M Ft" NA
