"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "72.2" "81" "3" " 3. kerület, Fanyarka utca " "felújított" "2011" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "36.4" "74" "2" " 4. kerület, Újpest-Központ " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"3" "53.38" "49" "2" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú, fan-coil" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "8.39 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"4" "20.9" "27" "1" " 11. kerület, Ballagi Mór utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "20 000 Ft/hó" NA NA
"5" "94.2" "71" "3" " 5. kerület, Fovám tér " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"6" "38" "73" "4" " 18. kerület, Juharos sor " "felújított" "1981-2000 között" "összkomfortos" "AA" "földszint" "3" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "nincs megadva" NA NA NA "van" NA
"7" "47.83" "43" "1" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "11.61 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"8" "53.35" "49" "2" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "9.25 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"9" "36.4" "74" "2" " 4. kerület, József Attila utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs" NA
"10" "48.12" "42" "1" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "dél" "udvari" "11.41 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"11" "53.01" "50" "2" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "7.77 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"12" "66.28" "60" "2" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m vagy magasabb" "fan-coil, hoszivattyú" "nincs megadva" "egy helyiségben" "dél" "udvari" "12.4 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "5 M Ft" NA NA NA
"13" "24.6" "51" "2" " 10. kerület, Korösi Csoma Sándor út 10-13 " "jó állapotú" "1981-2000 között" "összkomfortos" "BB" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "panorámás" NA "nem" NA "utca, közterület - ingyenes" NA NA "28 000 Ft/hó" "van" NA
"14" "28.9" "50" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA "nincs megadva"
"15" "26.8" "57" "2" " 3. kerület, Sarkadi Imre utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva"
"16" "47" "65" "3" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"17" "51" "79" "2" " 14. kerület, Herminamezo " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"18" "44.9" "45" "1" " 11. kerület, Villányi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"19" "38.9" "26" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "42.9" "68" "3" " 14. kerület, Alsórákos " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
