"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"1" "67.5" "75" "2" " 1. kerület, Vérmezo út " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "16 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "26.5" "47" "3" " 17. kerület, Pesti út " "jó állapotú" "összkomfortos" "nincs megadva" "5" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA
"3" "38.7" "68" "2" " 15. kerület, Korakás park " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²" "nincs megadva"
"4" "93.9" "120" "3" " 11. kerület, Bartók Béla út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 m²" NA
"5" "79.9" "98" "3" " 16. kerület, Ajak utca " "jó állapotú" "összkomfortos" "AA" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "legfelso emelet, nem tetotéri" "önálló garázs - benne van az árban" "2019" "nincs" NA NA
"6" "32.4" "54" "2" " 9. kerület, Napfény utca 2. " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "32 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "4 m²" NA
"7" "27.9" "28" "1" " 7. kerület, Szövetség utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "13 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "23.5" "30" "1" " 4. kerület, Vécsey Károly utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló" NA NA "20 m²" NA
"9" "40" "73" "3" " 14. kerület, Mirtusz utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "45 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "utcai" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950 elott" "nincs" NA NA
"10" "35.4" "44" "1" " 12. kerület, Krisztinaváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"11" "109" "140" "4" " 7. kerület, Kertész utca 20. " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" "2 m²" NA
"12" "29.9" "50" "1" " 15. kerület, Szilas park " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nem" "nincs megadva" "északnyugat" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "van" "1 m²" NA
"13" "23.9" "31" "1" " 10. kerület, Füzér utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön és egyben is" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA
"14" "91.9" "112" "3" " 5. kerület, Lipótváros " "felújítandó" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
"15" "88.5" "89" "2" " 2. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" NA "van" NA NA
"16" "59.9" "75" "2" " 13. kerület, Tátra utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA
"17" "48.5" "43" "1" " 7. kerület, Rózsa utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "5 m²" NA
"18" "62.87" "99" "4" " 10. kerület, Kobánya – Újhegy " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2020" NA "9 m²" NA
"19" "23" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "9 700 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA "részt vett"
"20" "11.2" "31" "1" " 20. kerület, Thököly utca 8. " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA
