"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "parkolohely_ara" "rezsikoltseg"
"1" "25.7" "52" "2" " 19. kerület, Rákóczi utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "kertre nézo" "3 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"2" "57.9" "42" "2" " 11. kerület, Bod Péter utca 3. " "újszeru" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "panorámás" "7 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2019" "4.9 M Ft" NA
"3" "69.9" "100" "2" " 11. kerület, Lágymányos " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"4" "26.4" "54" "2" " 21. kerület, Nap utca 10. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "84.9" "107" "3" " 8. kerület, Baross utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"6" "38" "30" "1" " 8. kerület, Corvin sétány " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"7" "29.9" "31" "1" " 13. kerület, Forgách utca 3. " "nincs megadva" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"8" "69.6" "117" "4" " 8. kerület, Pál utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"9" "74.9" "110" "3" " 8. kerület, József körút " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"10" "23.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"11" "49.9" "85" "3" " 1. kerület, Attila út " "jó állapotú" "összkomfortos" "EE" "földszint" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" NA "30 000 Ft/hó"
"12" "29.1" "31" "1" " 3. kerület, Raktár utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" NA NA
"13" "74.7" "83" "3" " 6. kerület, Kodály körönd " "felújított" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"14" "60" "92" "3" " 8. kerület, Józsefváros – Palotanegyed " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"15" "55.5" "74" "2" " 6. kerület, Teréz körút " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA "igen" "egy helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "25 000 Ft/hó"
