"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "epites_eve" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "25" "68" "3" " 4. kerület, Nyár utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "16" "50" "2" " 4. kerület, Berda József utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "64" "84" "3" " 13. kerület, Hegedus Gyula utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "van" NA NA NA NA
"4" "24.5" "45" "2" " 13. kerület, Béke utca " "felújítandó" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" NA NA "utca, közterület - ingyenes" NA "1950-1980 között" NA NA NA
"5" "72" "92" "3" " 7. kerület, Akácfa utca 43. " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950-1980 között" NA NA NA
"6" "78.9" "102" "4" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" "3 m²" NA NA
"7" "98" "104" "5" " 12. kerület, Virányos " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" "10 m²" NA NA
"8" "28.9" "31" "1" " 3. kerület, Óbuda – Filatorigát " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "önálló garázs" NA "1950 elott" NA NA NA
"9" "62" "70" "3" " 7. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1950 elott" NA NA NA
"10" "72.9" "91" "2" " 13. kerület, Katona József utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "egy helyiségben" "észak" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA NA
