"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg"
"1" "64.9" "89" "2" " 6. kerület, Zichy Jeno utca " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön és egyben is" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "26.27" "52" "2" " 9. kerület, Külso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"3" "26.5" "60" "3" " 21. kerület, Csepel-Belváros " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"4" "36.9" "51" "1" " 6. kerület, Külso-Terézváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "25.99" "43" "2" " 14. kerület, Alsórákos " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "23.7" "23" "1" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "22" "35" "1" " 21. kerület, Ady Endre út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3.5 m²" "nincs megadva" NA
"8" "25.6" "35" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"9" "62.6" "68" "3" " 3. kerület, Tündérliget utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "26.8" "53" "2" " 21. kerület, Katona József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA
