"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "panelprogram"
"1" "106.45" "94" "3" " 22. kerület, Budafok " "új építésu" "2020" "duplakomfortos" "AA++" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "egy helyiségben" "északkelet" "panorámás" "56.81 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA NA
"2" "133.9" "113" "4" " 3. kerület, Jablonka út " "új építésu" "2020" "duplakomfortos" "AA++" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia, hoszivattyú" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "30.25 m²" "igen" "nem tetotéri" "önálló garázs - kötelezo megvenni" "3.5 M Ft" NA NA NA NA
"3" "77.9" "86" "3" " 2. kerület, Máriaremetei út 194. " "új építésu" "2018" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "nincs megadva" "panorámás" "114 m²" "nem" "zárószint" "udvari beálló - megvásárolható" "1.5 M Ft" "van" NA NA NA
"4" "34.5" "36" "2" " 9. kerület, Márton utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "71.9" "101" "3" " 9. kerület, Középso-Ferencváros " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "33.9" "57" "2" " 8. kerület, Kálvária tér " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"7" "48.9" "68" "2" " 8. kerület, Pál utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "89.9" "143" "5" " 11. kerület, Kosztolányi Dezso tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" "20 000 Ft/hó" NA NA
"9" "31.35" "45" "2" " 13. kerület, Mór utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"10" "71.99" "90" "2.5" " 13. kerület, Kassák Residence " "új építésu" "2019" "duplakomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "kelet" "utcai" "15.95 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3.9 M Ft" NA NA "Kassák Residence" NA
