"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "epites_eve" "parkolohely_ara" "rezsikoltseg"
"1" "125.5" "95" "3" " 13. kerület, Angyalföld " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "30.5" "57" "2" " 3. kerület, Hollós Korvin Lajos utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1 m²" "nem vett részt" NA NA NA
"3" "47.41" "51" "2" " 9. kerület, Lenhossék utca " "újszeru" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" NA "teremgarázs hely - megvásárolható" "5 m²" NA "2001-2010 között" "15 000 €" NA
"4" "30.5" "31" "1" " 8. kerület, József utca 5. " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "9 m²" NA NA NA "20 000 Ft/hó"
"5" "24.9" "32" "1" " 14. kerület, Wass Albert tér " "közepes állapotú" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "1950-1980 között" NA NA
"6" "32.5" "34" "1" " 7. kerület, Wesselényi utca " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "1950 elott" NA "6 000 Ft/hó"
"7" "32.9" "48" "2" " 10. kerület, Mádi utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "nincs" "nincs megadva" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "udvari beálló" NA NA NA NA NA
"8" "34.8" "38" "1" " 9. kerület, Lónyay utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "25 000 Ft/hó"
"9" "25.9" "53" "2" " 21. kerület, Zrínyi utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA NA
"10" "21.9" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA "részt vett" "1981-2000 között" NA NA
