"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "58" "76" "4" " 7. kerület, Hutyra Ferenc utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "34.9" "43" "1" " 7. kerület, Jósika utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "20.8" "29" "1" " 9. kerület, Ifjúmunkás utca " "felújítandó" NA "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "30.7" "36" "1" " 16. kerület, Cinkota – Honfoglalás lakópark " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "udvari beálló - megvásárolható" "5 m²" "1.99 M Ft" NA NA NA
"5" "49.8" "60" "3" " 8. kerület, Mátyás tér " "újszeru" "2014" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 m²" NA NA NA NA
"6" "42" "61" "2" " 7. kerület, Dohány utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "32" "71" "2" " 4. kerület, Virág utca 11. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "nincs" "nincs megadva" NA
"8" "27.9" "51" "2" " 10. kerület, Nyero utca " "közepes állapotú" "1950 elott" "összkomfortos" "GG" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" NA "utca, közterület - ingyenes" NA NA "nincs" NA NA
"9" "38.8" "50" "2" " 4. kerület, Hárfa utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA "van" NA NA
"10" "29.9" "38" "1" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA "15 000 Ft/hó"
