"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "39.9" "56" "2" " 7. kerület, Rottenbiller utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "29.9" "37" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"3" "47.9" "48" "1" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "észak" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"4" "66" "70" "3" " 11. kerület, Köbölkút utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "13 000 Ft/hó" NA NA NA NA NA
"5" "31.5" "49" "1" " 11. kerület, Kéro utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "5 m²" "részt vett" NA NA
"6" "82.9" "91" "4" " 13. kerület, Kassák Residence " "új építésu" "2018" "duplakomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "115 m²" NA "Kassák Residence" "3.6 M Ft"
"7" "81.79" "180" "4" " 8. kerület, Rökk Szilárd utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "66.5" "90" "4" " 16. kerület, Boszénfa utca 4. " "új építésu" "2020" "luxus" "A+" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" "25 m²" NA NA NA
"9" "71.5" "90" "4" " 16. kerület, Boszénfa utca 4. " "új építésu" "2020" "luxus" "A+" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" "25 m²" NA NA NA
"10" "68.5" "90" "4" " 16. kerület, Boszénfa utca 4. " "új építésu" "2020" "luxus" "A+" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" "25 m²" NA NA NA
"11" "69.5" "90" "4" " 16. kerület, Boszénfa utca 4. " "új építésu" "2020" "luxus" "A+" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" "25 m²" NA NA NA
