"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely"
"1" "19.5" "37" "1" " 18. kerület, Havanna utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "56" "83" "3" " 13. kerület, Mohács utca 8/B " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" NA "igen" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület" "2001-2010 között" "nincs" "8 m²"
"3" "63.9" "71" "2" " 12. kerület, Tartsay Vilmos utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950-1980 között" "nincs" NA
"4" "300" "165" "5" " 6. kerület, Belso-Terézváros " "újszeru" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "megújuló energia" NA "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely" "2018" "van" "10 m²"
"5" "64.9" "68" "2" " 11. kerület, Szentimreváros " "felújított" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "északnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "6 m²"
"6" "34.5" "54" "2" " 10. kerület, Harmat utca 178. " "jó állapotú" "összkomfortos" "A+" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA "4 m²"
"7" "27.99" "46" "1" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"8" "26" "38" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA "4 m²"
"9" "27.8" "39" "2" " 13. kerület, Angyalföld " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA
"10" "42.5" "73" "2" " 9. kerület, Középso-Ferencváros – Malmok " "felújított" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "igen" "nincs megadva" "kelet" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"11" "48" "60" "2" " 11. kerület, Budaörsi út " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"12" "35.4" "44" "2" " 12. kerület, Krisztinaváros " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"13" "36.9" "47" "1" " 9. kerület, Tompa utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"14" "77.95" "92" "2" " 9. kerület, Telepy utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA "6 m²"
"15" "53.9" "53" "2" " 12. kerület, Apor Vilmos tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "nincs megadva" "1950 elott" NA "3 m²"
"16" "54.9" "69" "2" " 9. kerület, Ülloi út " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"17" "31.9" "40" "2" " 11. kerület, Kelenvölgy " "jó állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "nincs" "6 m²"
"18" "34.9" "40" "1" " 9. kerület, Nádasdy utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA "3 m²"
"19" "29.8" "49" "2" " 22. kerület, Anna utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"20" "24.99" "26" "1" " 9. kerület, Börzsöny utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
