"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "parkolohely_ara" "rezsikoltseg" "tetoter" "panelprogram"
"1" "39.9" "55" "2" " 3. kerület, Viador utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "udvari beálló - bérelheto" "4 000 Ft/hó" NA NA NA
"2" "50" "87" "2" " 8. kerület, Szigetvári utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "utca, közterület - fizetos övezet" NA "55 000 Ft/hó" "nem tetotéri" NA
"3" "51.8" "79" "3" " 4. kerület, Katód utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "7 m²" "nem" "önálló garázs - megvásárolható" "4 M Ft" NA "nem tetotéri" NA
"4" "29.5" "55" "2" " 15. kerület, Nyírpalota út " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "utca, közterület - ingyenes" NA "30 000 Ft/hó" "nem tetotéri" "részt vett"
"5" "29.5" "55" "2" " 15. kerület, Nyírpalota út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" "nincs megadva" "nincs megadva"
"6" "33.9" "54" "2" " 3. kerület, Juhász Gyula utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" NA NA "nem tetotéri" "részt vett"
"7" "55.23" "56" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" NA NA "nem tetotéri" NA
"8" "57.9" "65" "2" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "igen" "külön helyiségben" "nyugat" "utcai" "5.5 m²" "nincs megadva" "utca, közterület - fizetos övezet" NA "27 000 Ft/hó" "nincs megadva" NA
"9" "23.8" "35" "1" " 4. kerület, Lebstück Mária utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "7 700 Ft/hó" "nincs megadva" "nincs megadva"
"10" "32" "34" "1" " 13. kerület, Visegrádi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" NA NA "nem tetotéri" NA
"11" "41.9" "55" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "dél" "kertre nézo" NA "nem" "utca, közterület - fizetos övezet" NA NA "nem tetotéri" NA
"12" "82.9" "75" "3" " 3. kerület, Lajos utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" NA NA "nem tetotéri" NA
"13" "27.5" "53" "2" " 19. kerület, Kisfaludy utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "utca, közterület" NA "14 000 Ft/hó" "nincs megadva" "nincs megadva"
"14" "24.9" "30" "1" " 3. kerület, Óbuda-Óváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" NA NA "nem tetotéri" NA
"15" "29.9" "35" "1" " 13. kerület, Csángó utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "dél" "nincs megadva" NA "nincs megadva" "utca, közterület - fizetos övezet" NA "10 000 Ft/hó" "nincs megadva" "részt vett"
"16" "48" "47" "2" " 14. kerület, Angol utca 46. " "újszeru" "2011" "nincs megadva" "BB" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "dél" "panorámás" "9 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" "19 000 Ft/hó" "legfelso emelet, nem tetotéri" NA
"17" "27.4" "43" "2" " 18. kerület, Lakatos-lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA NA "nem tetotéri" NA
"18" "27" "36" "1" " 14. kerület, Rákosszeg park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "udvari beálló - benne van az árban" NA NA "nem tetotéri" NA
