"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "78.9" "100" "4" " 13. kerület, Csanády utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "46.9" "54" "3" " 2. kerület, Fazekas utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA NA
"3" "54.5" "82" "3" " 19. kerület, Wekerletelep " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "2001-2010 között" "van" NA NA
"4" "27.7" "57" "2" " 19. kerület, József Attila utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "7 m²" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" "van" NA NA
"5" "25.99" "30" "1" " 19. kerület, Lehel utca 6. " "nincs megadva" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2.58 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2020" NA NA NA
"6" "178.9" "160" "6" " 5. kerület, Kossuth Lajos utca 6. " "felújított" "luxus" "CC" "3" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "35 000 Ft/hó" NA
"7" "97.3" "99" "4" " 7. kerület, Rákóczi út " "felújított" "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "van" NA NA
"8" "108" "96" "3" " 12. kerület, Fodor utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "30 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"9" "28.9" "63" "3" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "nem vett részt"
"10" "18.9" "42" "2" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA
"11" "46.8" "74" "4" " 11. kerület, Gazdagréti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"12" "44.9" "59" "2" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA
"13" "169.9" "119" "4" " 5. kerület, Lipótváros " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"14" "18.5" "36" "1" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "összkomfortos" "DD" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "15 000 Ft/hó" NA
"15" "119" "160" "7" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "42 000 Ft/hó" NA
"16" "65" "70" "2" " 7. kerület, Külso-Erzsébetváros " "újszeru" "összkomfortos" "nincs megadva" "földszint" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület - fizetos övezet" "2001-2010 között" "van" NA NA
"17" "44.9" "59" "2" " 2. kerület, Törökvész út " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "van" NA "nincs megadva"
"18" "34.9" "65" "2" " 8. kerület, Orczy út " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "van" "16 000 Ft/hó" NA
"19" "46.5" "62" "2" " 14. kerület, Jávor utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"20" "228" "186" "4" " 12. kerület, Mártonhegy " "felújított" "luxus" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "kertre nézo" "39 m²" "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA "12 500 Ft/hó" NA
