"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "parkolohely_ara"
"1" "70" "87" "3" " 14. kerület, Törökor " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "15 000 Ft/hó" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "24.9" "43" "1" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "80" "78" "3" " 3. kerület, Lajos utca 93-99 " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "23.3" "35" "1" " 17. kerület, Ferihegyi út 114. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "6 645 Ft/hó" "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt" NA NA
"5" "47.9" "70" "4" " 8. kerület, Mosonyi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "észak" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "33.5" "45" "1" " 13. kerület, Keszkeno utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "északkelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA "2 m²" NA
"7" "27.99" "37" "1" " 3. kerület, Gyenes utca " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"8" "36" "35" "1" " 5. kerület, Reáltanoda utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "30.3" "50" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"10" "27.7" "52" "2" " 4. kerület, Nyár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "20 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt" "5 m²" NA
"11" "27.2" "49" "2" " 18. kerület, Lakatos út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "47.9" "50" "1" " 11. kerület, Alíz utca 8. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "31.9" "40" "2" " 11. kerület, Kelenvölgy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "6 m²" NA
"14" "23.99" "31" "1" " 10. kerület, Halas utca 9. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gázkazán" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" "udvari beálló - bérelheto" NA NA NA "5 000 Ft/hó"
"15" "38.2" "57" "3" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"16" "29.9" "54" "2" " 13. kerület, Kassák Lajos utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"17" "23.9" "36" "1" " 17. kerület, Borsó utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "20 Ft/hó" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nem vett részt" "4 m²" NA
"18" "23.55" "30" "1" " 21. kerület, II. Rákóczi Ferenc út 111. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "fan-coil, házközponti egyedi méréssel" "15 000 Ft/hó" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" "van" NA "1 m²" NA
"19" "29.5" "58" "2" " 4. kerület, Kordován tér " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt" "4 m²" NA
"20" "24.99" "26" "1" " 9. kerület, Börzsöny utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
