"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "32.8" "58" "2" " 17. kerület, Akácvirág utca " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "48" "52" "2" " 7. kerület, Százház utca 29. " "újszeru" "összkomfortos" "BB" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "24 000 Ft/hó" "igen" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "8 m²" "5 M Ft"
"3" "48.9" "69" "3" " 14. kerület, Egressy út " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" NA "utca, közterület - ingyenes" NA "nincs" NA NA
"4" "31" "32" "1" " 7. kerület, Erzsébet körút " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"5" "22.7" "28" "1" " 22. kerület, Panoráma utca " "újszeru" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2019" "nincs" NA NA
"6" "40.99" "41" "1" " 6. kerület, Belso-Terézváros " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA NA
"7" "50.3" "52" "2" " 7. kerület, Garay tér " "újszeru" "nincs megadva" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "2001-2010 között" "van" NA NA
"8" "30.9" "40" "1" " 7. kerület, Izabella utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület" NA NA NA NA
"9" "176" "84" "3" " 1. kerület, Tabán " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"10" "28.99" "48" "2" " 11. kerület, Fehérvári út " "felújítandó" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "4 m²" NA
"11" "30.5" "46" "2" " 15. kerület, Rákos út " "jó állapotú" "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" NA NA "utca, közterület - ingyenes" NA "van" "7 m²" NA
"12" "29.2" "35" "1" " 22. kerület, Panoráma utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2019" NA NA NA
"13" "29" "36" "1" " 10. kerület, Gozmozdony utca 12. " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA "van" "6 m²" NA
"14" "24.3" "29" "1" " 22. kerület, Panoráma utca " "újszeru" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2019" "nincs" NA NA
"15" "46" "65" "3" " 11. kerület, Fehérvári út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA "nincs" "4 m²" NA
"16" "29" "36" "1" " 10. kerület, Gozmozdony utca 12. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "6 m²" NA
"17" "28.5" "50" "1" " 17. kerület, Földmuves utca 6/D " "nincs megadva" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "utca, közterület" "1950-1980 között" NA "10 m²" NA
"18" "91" "96" "3" " 11. kerület, Bod Péter utca 21. " "jó állapotú" "összkomfortos" "AA" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "12 000 Ft/hó" "nem" "külön helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "57 m²" "7 M Ft"
"19" "123" "120" "3" " 1. kerület, Hunyadi János út 3. " "felújítandó" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"20" "31.6" "66" "3" " 18. kerület, Gloriett lakótelep " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" "1981-2000 között" "van" NA NA
