"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "46.9" "48" "2" " 9. kerület, Vendel utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "16 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "64.9" "105" "3" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"3" "52" "64" "2" " 6. kerület, Izabella utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"4" "120" "120" "4" " 2. kerület, Huvösvölgy " "nincs megadva" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "nincs megadva" "tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"5" "129" "85" "3" " 2. kerület, Sodrás utca " "újszeru" "2013" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "igen" "külön és egyben is" "dél" "panorámás" "26 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "6 M Ft" NA NA
"6" "27.99" "49" "2" " 14. kerület, Vezér utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "2.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA
"7" "29.9" "50" "2" " 10. kerület, Ligettelek " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA "20 000 Ft/hó"
"8" "22.5" "26" "1" " 6. kerület, Külso-Terézváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "9 000 Ft/hó"
"9" "43.9" "50" "2" " 12. kerület, Csorna utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "8 m²" "nem" NA "utca, közterület - ingyenes" "nincs" NA NA NA
"10" "39.9" "80" "2" " 14. kerület, Bolgárkertész utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "30 000 Ft/hó"
"11" "27.99" "44" "1" " 18. kerület, Újpéteritelep " "újszeru" "2012" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" "23 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA
"12" "74.9" "118" "3" " 14. kerület, Istvánmezo " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "egyéb" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"13" "19.9" "46" "1" " 21. kerület, Kossuth Lajos utca " "felújítandó" NA "összkomfortos" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA "nincs megadva" NA
"14" "49.9" "56" "2" " 8. kerület, Nap utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
