"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "173.9" "159" "4" " 7. kerület, Erzsébet körút 26. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "70 000 Ft/hó" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "23.75" "32" "1" " 11. kerület, Sárbogárdi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA NA
"3" "69.9" "100" "2" " 11. kerület, Lágymányos " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"4" "84.9" "77" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "29.9" "55" "2" " 22. kerület, Bartók Béla út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA
"6" "69.9" "76" "3" " 14. kerület, Ilka utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"7" "24.9" "55" "2" " 21. kerület, Rakéta utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva"
"8" "20.89" "28" "1" " 8. kerület, Magdolna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "58.5" "45" "1" " 5. kerület, Aranykéz utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" NA "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "39.9" "45" "1" " 3. kerület, Kenyeres utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "3 m²" NA
