"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo"
"1" "42.8" "88" "3" " 10. kerület, Mongol utca " "nincs megadva" "2011" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nincs megadva" "zárószint" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"2" "38.5" "65" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA
"3" "30.6" "59" "2" " 21. kerület, Csepel-Szabótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"4" "21.9" "34" "1" " 10. kerület, Kobánya – Óhegy " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "27" "51" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"6" "25.7" "56" "2" " 21. kerület, Csepel-Csillagtelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "21.45" "32" "1" " 4. kerület, Vécsey Károly utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "29.9" "39" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "van"
"9" "189" "176" "4" " 12. kerület, Istenhegy – Diósárok " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "40 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "41" "49" "2" " 6. kerület, Szinyei Merse Pál utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
