"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "panelprogram"
"1" "30" "38" "1" " 11. kerület, Csóka utca " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "53.9" "67" "2" " 11. kerület, Albertfalva " "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" "7 m²" NA NA
"3" "38.58" "46" "2" " 11. kerület, Albertfalva " "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" "7 m²" NA NA
"4" "39.9" "65" "3" " 18. kerület, Királyhágó utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "7 m²" NA NA
"5" "45.7" "64" "2" " 9. kerület, Ülloi út 115 B " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "5 m²" "30 000 Ft/hó" NA
"6" "26.8" "45" "1" " 15. kerület, Rákos út " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" NA "utca, közterület - ingyenes" "1981-2000 között" "6 m²" "35 000 Ft/hó" NA
"7" "107.82" "104" "4" " 11. kerület, Madárhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "panorámás" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2020" "33 m²" NA NA
"8" "36.35" "49" "2" " 8. kerület, József utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA "11 000 Ft/hó" NA
"9" "49.9" "78" "2" " 14. kerület, Istvánmezo " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "6 m²" NA NA
"10" "34.8" "43" "1" " 7. kerület, Belso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
