"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "35.7" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"2" "54.8" "53" "3" " 11. kerület, Petzvál József utca " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "6 m²" NA NA NA NA
"3" "31.7" "56" "2" " 14. kerület, Rákosfalva " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"4" "30.49" "58" "1" " 19. kerület, Kispesti lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA NA NA NA
"5" "53.1" "79" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nem" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "van" "19 000 Ft/hó" NA NA
"6" "36.9" "75" "3" " 18. kerület, Krepuska Géza-telep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" "6 m²" NA NA NA NA
"7" "64.9" "81" "3" " 13. kerület, Újlipótváros – Kleopátraház " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA NA NA NA
"8" "27.9" "28" "1" " 11. kerület, Gazdagréti lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA "5 000 Ft/hó" NA NA
"9" "24.8" "49" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújítandó" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"10" "43.9" "85" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújítandó" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA NA
"11" "81.6" "97" "4" " 11. kerület, Savoya Ház " "új építésu" "összkomfortos" "AA+" "6" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2020" "11 m²" "van" "30 000 Ft/hó" "Savoya Ház" "3 M Ft"
"12" "104.9" "135" "5" " 2. kerület, Szilágyi Erzsébet fasor " "közepes állapotú" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nem" "tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "2 m²" NA "40 000 Ft/hó" NA NA
"13" "33.5" "68" "3" " 4. kerület, Intarzia utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
"14" "47.49" "48" "2" " 9. kerület, Bárd utca " "nincs megadva" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "10.16 m²" "van" NA NA NA
"15" "66.9" "60" "2" " 5. kerület, Honvéd tér " "jó állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" NA "van" NA NA NA
"16" "95.9" "109" "3" " 9. kerület, Belso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "van" NA NA NA
"17" "103.2" "81" "3" " 2. kerület, Nagybányai út 92. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA "7 m²" NA NA NA NA
"18" "38.58" "45" "2" " 11. kerület, Savoya Ház " "új építésu" "összkomfortos" "AA+" "5" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - megvásárolható" "2020" "8 m²" "van" "12 000 Ft/hó" "Savoya Ház" "1.5 M Ft"
