"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "lakopark_neve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "55.2" "70" "3" " 14. kerület, Pétervárad utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "126.1" "99" "3" " 2. kerület, Nagybányai út 92. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "19 m²" NA NA NA NA NA
"3" "35.26" "47" "2" " 9. kerület, Bárd utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "9.28 m²" NA NA NA NA NA
"4" "119" "145" "2.5" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "39 m²" NA NA NA NA NA
"5" "99" "97" "5" " 11. kerület, Savoya Ház " "új építésu" "2020" "összkomfortos" "AA+" "6" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "57 m²" "Savoya Ház" "van" "30 000 Ft/hó" "3 M Ft" NA
"6" "119.9" "80" "2" " 5. kerület, Stollár Béla utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"7" "36.8" "44" "1" " 12. kerület, Hajnóczy József utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "55" "47" "1" " 2. kerület, Fillér utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "44 000 Ft/hó" NA NA
"9" "51.5" "55" "2" " 1. kerület, Fazekas utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" "nincs megadva" NA "udvari beálló - benne van az árban" "5 m²" NA NA "35 000 Ft/hó" NA NA
"10" "239" "122" "4" " 6. kerület, Andrássy út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1 m²" NA NA NA NA NA
"11" "63.9" "62" "3" " 9. kerület, Kálvin tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"12" "105.9" "106" "4" " 7. kerület, Osvát utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"13" "42.9" "54" "2" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA NA NA NA
"14" "27.93" "40" "1" " 7. kerület, Nefelejcs utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" "22 000 Ft/hó" NA NA
"15" "57" "103" "3" " 7. kerület, Garay utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "van" NA NA NA
"16" "187.96" "162" "4" " 11. kerület, Sasad " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"17" "27.9" "59" "2" " 19. kerület, Kispest " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA "részt vett"
"18" "32.9" "48" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA NA
"19" "39.9" "58" "3" " 14. kerület, Róna utca 188. " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
