"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "29.99" "48" "2" " 11. kerület, Fehérvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes"
"2" "27.5" "28" "1" " 3. kerület, Orlo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "távfutés" "nincs" "igen" "egy helyiségben" "kelet" "kertre nézo" "24 m²" "igen" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes"
"3" "55" "57" "1" " 12. kerület, Kissvábhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"4" "33" "45" "2" " 10. kerület, Kápolna utca " "újszeru" NA "összkomfortos" "nincs megadva" "5" "7" "van" "3 m vagy magasabb" "távfutés" "van" "igen" "külön és egyben is" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes"
"5" "61.03" "61" "3" " 3. kerület, Óbudai lakótelep " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"6" "27.5" "63" "2" " 21. kerület, Puli sétány " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "5" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"7" "23" "27" "1" " 18. kerület, Barta Lajos utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"8" "34" "29" "1" " 12. kerület, Agancs út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"9" "29.7" "66" "2" " 20. kerület, Török Flóris utca 2/a " "közepes állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" NA NA "nincs megadva"
"10" "23.9" "52" "2" " 19. kerület, Lehel utca " "felújítandó" NA "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "északnyugat" "panorámás" "2 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
