"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "55" "57" "1" " 12. kerület, Álom utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "28.2" "33" "1" " 10. kerület, Tavas utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "3.5 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "0.7 M Ft" NA NA NA
"3" "30.9" "43" "1" " 14. kerület, Róna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "15 000 Ft/hó" NA NA
"4" "33.9" "66" "3" " 3. kerület, Kabar utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"5" "40.9" "38" "1" " 11. kerület, Szerémi út " "újszeru" "2001-2010 között" "összkomfortos" "CC" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA "nincs"
"6" "105" "133" "6" " 13. kerület, Angyalföld " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "59 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA NA
"7" "29.5" "32" "1" " 12. kerület, Hollósy Simon utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"8" "69.5" "129" "5" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "176" "127" "4" " 12. kerület, Adonis utca 5. " "újszeru" "2019" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "56 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"10" "31.2" "35" "1" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
