"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "legkondicionalo" "rezsikoltseg"
"1" "38.9" "81" "3" " 14. kerület, Ilka utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "71.21" "71" "3" " 3. kerület, Királyok útja 291. " "jó állapotú" "összkomfortos" "AA" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "nincs megadva" "udvari" "igen" "nem tetotéri" "nincs megadva" "2001-2010 között" "29.8 m²" NA NA NA
"3" "31.8" "33" "1" " 11. kerület, Bercsényi utca 34/A " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "57.99" "62" "2" " 6. kerület, Podmaniczky utca " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "24.6" "50" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA NA
"6" "27.9" "30" "1" " 11. kerület, Lágymányosi lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"7" "42.95" "66" "3" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" "nincs megadva" "van" NA
"8" "119" "79" "3" " 3. kerület, Királyok útja 291. " "jó állapotú" "luxus" "AA" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "nincs megadva" "udvari" "nem" "penthouse" "nincs megadva" "2001-2010 között" "79.91 m²" NA NA NA
"9" "28.4" "66" "3" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "7 m²" "nincs megadva" NA NA
"10" "38.8" "54" "2" " 20. kerület, Elod utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "21 m²" NA NA NA
