"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo" "rezsikoltseg"
"1" "24.99" "49" "2" " 17. kerület, Kaszáló utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "29.9" "40" "1" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "37.5" "38" "1" " 13. kerület, Hollán Erno utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "5" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA
"4" "34.8" "50" "2" " 3. kerület, Óbuda-Óváros " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"5" "68.7" "72" "4" " 7. kerület, Rákóczi út 60. " "felújított" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" NA NA NA NA
"6" "34.6" "54" "2" " 8. kerület, Fiumei út " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "udvari beálló" NA NA NA NA
"7" "49" "69" "2" " 6. kerület, Eötvös utca 46. " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "nincs megadva" NA "1950 elott" "nincs" "16 000 Ft/hó"
"8" "53" "79" "2" " 14. kerület, Nagyzugló " "felújított" "összkomfortos" "nincs megadva" "szuterén" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1950-1980 között" NA NA
"9" "23.99" "27" "1" " 14. kerület, Nagyzugló " "felújított" "összkomfortos" "nincs megadva" "szuterén" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1950-1980 között" NA NA
"10" "32.9" "52" "1" " 14. kerület, Nagyzugló " "felújított" "összkomfortos" "nincs megadva" "szuterén" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "1950-1980 között" NA NA
"11" "84.9" "70" "2" " 11. kerület, Kondorosi út 12/A. B.lh. 7.em " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "94 m²" NA NA NA
