"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "31" "42" "1" " 8. kerület, Népszínház utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "136.9" "85" "2" " 5. kerület, Belváros " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" "nincs megadva" "2019" "van" "19 m²" NA NA
"3" "59.5" "55" "2" " 12. kerület, Zugliget " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "6 m²" NA NA
"4" "59.5" "55" "2" " 12. kerület, Zugliget " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "6 m²" NA NA
"5" "62.9" "79" "3" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"6" "28.5" "27" "1" " 7. kerület, Dembinszky utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA
"7" "23.8" "25" "1" " 16. kerület, Újszász utca 45. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "33" "59" "2" " 19. kerület, Toldy utca 11. " "felújított" "összkomfortos" "CC" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" NA "45 000 Ft/hó" "nem vett részt"
"9" "26" "53" "2" " 19. kerület, Deák Ferenc utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "50 Ft/hó" "nincs megadva"
"10" "22.5" "27" "1" " 6. kerület, Székely Bertalan utca " "felújítandó" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "nincs" NA "8 900 Ft/hó" NA
"11" "28" "49" "2" " 10. kerület, Kovágó utca " "jó állapotú" "összkomfortos" "BB" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "2 m²" "25 000 Ft/hó" "nem vett részt"
"12" "38.5" "70" "2" " 18. kerület, Baross utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" "nincs" "15 m²" NA NA
"13" "34.7" "66" "2" " 18. kerület, Margó Tivadar utca " "jó állapotú" "összkomfortos" "CC" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "32 600 Ft/hó" "részt vett"
"14" "106.9" "103" "3" " 13. kerület, Visegrádi utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "38.9" "66" "3" " 3. kerület, Kiscelli utca " "jó állapotú" "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" "1981-2000 között" "van" "4 m²" NA "nincs megadva"
"16" "25.9" "33" "1" " 14. kerület, Vezér utca " "jó állapotú" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "4.5 m²" NA "nem vett részt"
"17" "39" "82" "3" " 15. kerület, Kossuth utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA "4 m²" NA "részt vett"
"18" "37.9" "58" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" "1950 elott" "nincs" "4 m²" NA NA
"19" "37.9" "48" "2" " 11. kerület, Rátz László utca " "felújított" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "4 m²" NA "részt vett"
"20" "41.9" "60" "2" " 3. kerület, Óbudai lakótelep " "felújított" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "3 m²" NA NA
