"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "legkondicionalo" "rezsikoltseg" "tetoter" "parkolohely_ara" "panelprogram"
"1" "32.59" "46" "2" " 17. kerület, Rákoskeresztúr – Színes házak " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délnyugat" "panorámás" "7 m²" "nem" "utca, közterület" NA NA NA NA NA
"2" "74.9" "90" "4" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "hoszivattyú" "igen" "külön és egyben is" "délnyugat" "kertre nézo" NA "igen" "utca, közterület - fizetos övezet" "van" "20 000 Ft/hó" "nem tetotéri" NA NA
"3" "39.9" "50" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "hoszivattyú" "igen" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "utca, közterület" "van" NA "nem tetotéri" NA NA
"4" "41.8" "38" "1" " 5. kerület, Kálmán Imre utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "utca, közterület - fizetos övezet" "nincs" NA "nem tetotéri" NA NA
"5" "61.9" "100" "4" " 14. kerület, Thököly út " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "5 m²" "nincs megadva" "udvari beálló - bérelheto" NA "40 000 Ft/hó" "nem tetotéri" "10 000 Ft/hó" NA
"6" "29.9" "48" "2" " 3. kerület, Kiscelli utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "dél" "panorámás" "4 m²" "nem" "utca, közterület" "nincs" NA "legfelso emelet, nem tetotéri" NA "nem vett részt"
"7" "58.9" "62" "2" " 12. kerület, Krisztinaváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "6 m²" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"8" "20.8" "27" "1" " 9. kerület, Ifjúmunkás utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "utca, közterület - ingyenes" "nincs" NA "nem tetotéri" NA NA
"9" "39.9" "50" "2" " 3. kerület, Tímár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"10" "30.8" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "utca, közterület" "van" NA "nem tetotéri" NA "részt vett"
