"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg"
"1" "24.6" "47" "2" " 15. kerület, Rákospalota " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem vett részt" "nincs megadva" NA NA NA
"2" "109" "82" "3" " 10. kerület, Kobánya-Városközpont " "felújított" "2011" "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely" "van" "45 m²" NA
"3" "32.9" "49" "2" " 3. kerület, Zápor utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - fizetos övezet" "nincs" "4 m²" NA
"4" "89.5" "140" "5" " 8. kerület, Kerepesi út 5. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "25 000 Ft/hó"
"5" "29.8" "42" "1" " 14. kerület, Öv utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló" NA "6 m²" NA
"6" "39.8" "43" "2" " 6. kerület, Weiner Leó utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "van" NA NA
"7" "42.9" "47" "2" " 12. kerület, Svábhegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "6 m²" NA
"8" "52.9" "59" "3" " 6. kerület, Vörösmarty utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"9" "34.2" "42" "1" " 6. kerület, Bajza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"10" "270.47" "163" "5" " 6. kerület, Jókai tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"11" "27" "36" "1" " 13. kerület, Béke tér " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "részt vett" "utca, közterület - fizetos övezet" "nincs" NA NA
"12" "52.9" "71" "2" " 12. kerület, Krisztinaváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA
"13" "25" "47" "1" " 8. kerület, Kálvária tér " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA "11 300 Ft/hó"
"14" "59" "47" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"15" "28.5" "57" "2" " 3. kerület, Gyuru utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "nincs" "1 m²" "40 000 Ft/hó"
"16" "66.9" "76" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"17" "48.9" "60" "2" " 11. kerület, Eszék utca " "felújítandó" NA "nincs megadva" "nincs megadva" "félemelet" "4" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület" NA NA "40 000 Ft/hó"
"18" "32.5" "50" "2" " 9. kerület, József Attila-lakótelep " "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "4 m²" NA
"19" "54.9" "75" "3" " 13. kerület, Katona József utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "nincs" NA NA
"20" "33" "56" "2" " 9. kerület, Toronyház utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
