"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "56" "54" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "21.9 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "55.5" "52" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "21.3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "57.8" "74" "4" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "16.7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "45.9" "54" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "10.3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "46.9" "54" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "6.9 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "83" "110" "3" " 2. kerület, Frankel Leó út " NA "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "van" NA NA
"7" "57" "60" "2" " 11. kerület, Móricz Zsigmond körtér " NA "felújított" NA "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA
"8" "57" "60" "2" " 11. kerület, Móricz Zsigmond körtér " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "69.9" "63" "3" " 2. kerület, Margit körút " NA "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "42.5" "36" "1" " 12. kerület, Németvölgyi út " NA "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "szuterén" "3" "nincs" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "30 000 Ft/hó" NA
"11" "90" "95" "3" " 2. kerület, Szilágyi Erzsébet fasor " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
