"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "36" "51" "2" " 3. kerület, Óbuda-Óváros " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "40 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" "udvari beálló - bérelheto" NA NA NA NA
"2" "31.5" "39" "1" " 14. kerület, Varsó utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" NA NA NA
"3" "24.9" "33" "1" " 3. kerület, Óbuda – Filatorigát " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "52" "56" "2" " 11. kerület, Lágymányosi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA
"5" "82.3" "98" "3" " 13. kerület, Szent István körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "30 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA NA
"6" "69.9" "63" "2" " 2. kerület, Országút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA
"7" "117.18" "144" "4" " 6. kerület, Nagymezo utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA
"8" "33.9" "50" "2" " 20. kerület, János utca " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "délkelet" "panorámás" "7 m²" "nem" "utca, közterület - ingyenes" NA NA NA NA
"9" "62.9" "80" "3" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA NA
"10" "26.9" "46" "2" " 18. kerület, Vándor Sándor utca 3. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "14 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "utca, közterület - ingyenes" "nem tetotéri" "részt vett" NA NA
"11" "22.9" "35" "1" " 8. kerület, Golgota út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA
"12" "69.9" "63" "2" " 2. kerület, Margit körút " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "utca, közterület" "nem tetotéri" NA NA NA
"13" "93.87" "93" "4" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "délkelet" "nincs megadva" "23.27 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"14" "62.38" "63" "3" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "délkelet" "nincs megadva" "11.26 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"15" "42" "50" "2" " 11. kerület, Csóka utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nyugat" "panorámás" NA "nincs megadva" "utca, közterület - ingyenes" "legfelso emelet, nem tetotéri" NA NA NA
"16" "45.42" "44" "2" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "délkelet" "nincs megadva" "8.25 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"17" "36.68" "34" "1" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "délkelet" "nincs megadva" "7.34 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"18" "61.92" "61" "3" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "északkelet" "nincs megadva" "16.1 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"19" "47.56" "44" "2" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "északnyugat" "nincs megadva" "15.95 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
"20" "36.39" "34" "1" " 11. kerület, Belmont Ház " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "nincs megadva" "északnyugat" "nincs megadva" "7.34 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "Belmont Ház" "4 M Ft"
